dataset,strategy,seed,precision,recall,f1,mcc,pr_auc,tn,fp,fn,tp,threshold
reveal,baseline,1337,0.39090909090909093,0.10804020100502512,0.16929133858267717,0.1689986381469114,0.2676434850700616,4079,67,355,43,0.5
reveal,class_weighted,1337,0.26898326898326896,0.5251256281407035,0.3557446808510638,0.29142092044738116,0.2830071954486995,3578,568,189,209,0.5
